"location" "new_cases" "new_deaths"
"1" "Argentina" 4 1
"2" "Argentina" 0 0
"3" "Argentina" 5 0
"4" "Argentina" 2 0
"5" "Argentina" 0 0
"6" "Argentina" 12 1
"7" "Argentina" 3 0
"8" "Argentina" 11 0
"9" "Argentina" 11 0
"10" "Argentina" 12 0
"11" "Argentina" 11 0
"12" "Argentina" 18 1
"13" "Argentina" 31 0
"14" "Argentina" 30 1
"15" "Argentina" 108 0
"16" "Argentina" 35 0
"17" "Argentina" 86 2
"18" "Argentina" 0 2
"19" "Argentina" 115 1
"20" "Argentina" 87 4
"21" "Argentina" 101 5
"22" "Argentina" 55 1
"23" "Argentina" 75 4
"24" "Argentina" 234 4
"25" "Argentina" 0 1
"26" "Argentina" 79 8
"27" "Argentina" 132 3
"28" "Argentina" 186 4
"29" "Argentina" 0 1
"30" "Argentina" 103 4
"31" "Argentina" 74 8
"32" "Argentina" 87 7
"33" "Argentina" 80 9
"34" "Argentina" 180 10
"35" "Argentina" 0 1
"36" "Argentina" 167 7
"37" "Argentina" 66 7
"38" "Argentina" 69 5
"39" "Argentina" 166 9
"40" "Argentina" 128 4
"41" "Argentina" 98 8
"42" "Argentina" 89 6
"43" "Argentina" 81 3
"44" "Argentina" 102 4
"45" "Argentina" 90 11
"46" "Argentina" 113 5
"47" "Argentina" 291 13
"48" "Argentina" 172 11
"49" "Argentina" 173 9
"50" "Argentina" 112 7
"51" "Argentina" 111 5
"52" "Argentina" 124 10
"53" "Argentina" 158 7
"54" "Argentina" 143 4
"55" "Argentina" 104 7
"56" "Argentina" 149 12
"57" "Argentina" 102 9
"58" "Argentina" 104 14
"59" "Argentina" 133 4
"60" "Argentina" 188 9
"61" "Argentina" 163 9
"62" "Argentina" 240 11
"63" "Argentina" 165 7
"64" "Argentina" 258 5
"65" "Argentina" 244 9
"66" "Argentina" 285 5
"67" "Argentina" 316 10
"68" "Argentina" 255 24
"69" "Argentina" 345 3
"70" "Argentina" 326 7
"71" "Argentina" 263 10
"72" "Argentina" 303 9
"73" "Argentina" 438 11
"74" "Argentina" 474 10
"75" "Argentina" 648 13
"76" "Argentina" 718 17
"77" "Argentina" 704 12
"78" "Argentina" 723 7
"79" "Argentina" 552 15
"80" "Argentina" 600 17
"81" "Argentina" 705 16
"82" "Argentina" 769 8
"83" "Argentina" 717 12
"84" "Argentina" 795 8
"85" "Argentina" 637 11
"86" "Argentina" 564 17
"87" "Argentina" 904 13
"88" "Argentina" 949 14
"89" "Argentina" 929 25
"90" "Argentina" 840 24
"91" "Argentina" 983 16
"92" "Argentina" 774 16
"93" "Argentina" 826 29
"94" "Argentina" 1141 24
"95" "Argentina" 1226 18
"96" "Argentina" 1386 30
"97" "Argentina" 1391 20
"98" "Argentina" 1531 30
"99" "Argentina" 1282 18
"100" "Argentina" 1208 21
"101" "Argentina" 1374 24
"102" "Argentina" 1393 35
"103" "Argentina" 1958 35
"104" "Argentina" 2060 31
"105" "Argentina" 1634 13
"106" "Argentina" 1581 19
"107" "Argentina" 2146 32
"108" "Argentina" 2272 35
"109" "Argentina" 2648 38
"110" "Argentina" 2606 34
"111" "Argentina" 2886 34
"112" "Argentina" 2401 23
"113" "Argentina" 2189 25
"114" "Argentina" 2335 48
"115" "Argentina" 2262 27
"116" "Argentina" 2667 44
"117" "Argentina" 2744 34
"118" "Argentina" 2845 52
"119" "Argentina" 2590 44
"120" "Argentina" 2439 26
"121" "Argentina" 2632 75
"122" "Argentina" 2979 62
"123" "Argentina" 3604 50
"124" "Argentina" 3663 26
"125" "Argentina" 3367 54
"126" "Argentina" 3449 36
"127" "Argentina" 2657 35
"128" "Argentina" 3099 58
"129" "Argentina" 3645 65
"130" "Argentina" 4236 82
"131" "Argentina" 3637 62
"132" "Argentina" 4518 66
"133" "Argentina" 3223 42
"134" "Argentina" 4231 40
"135" "Argentina" 4019 113
"136" "Argentina" 5344 117
"137" "Argentina" 5782 98
"138" "Argentina" 6127 114
"139" "Argentina" 5493 105
"140" "Argentina" 4814 86
"141" "Argentina" 4192 46
"142" "Argentina" 4890 120
"143" "Argentina" 5939 120
"144" "Argentina" 5641 109
"145" "Argentina" 6377 153
"146" "Argentina" 5929 102
"147" "Argentina" 5241 53
"148" "Argentina" 5376 52
"149" "Argentina" 4824 165
"150" "Argentina" 6792 166
"151" "Argentina" 7147 127
"152" "Argentina" 7513 145
"153" "Argentina" 7482 160
"154" "Argentina" 6134 112
"155" "Argentina" 4688 83
"156" "Argentina" 7369 158
